plmn,ccid,mme,ims,enb,ue-db
25001,8949024,OK,OK,OK,OK
25002,8949024,OK,OK,OK,OK
25020,8949024,OK,OK,OK,OK
25027,8949024,OK,OK,OK,OK
25028,8949024,OK,OK,OK,OK
25035,8949024,OK,OK,OK,OK
25062,8949024,OK,OK,OK,OK
25099,8949024,OK,OK,OK,OK
43235,8949024,OK,OK,OK,OK
43270,8949024,OK,OK,OK,OK
43211,8949024,OK,OK,OK,OK
43219,8949024,OK,OK,OK,OK
43214,8949024,OK,OK,OK,OK
43232,8949024,OK,OK,OK,OK
43293,8949024,OK,OK,OK,OK
00101,8949024,OK,OK,OK,OK
00101,8949024,OK,OK,OK,OK
51566,896366,OK,OK,OK,OK
24001,894601,OK,OK,OK,OK
22201,893901,OK,OK,OK,OK
20801,893301,OK,OK,OK,OK
26201,894901,OK,OK,OK,OK
26202,894920,OK,OK,OK,OK
23415,8988239,OK,OK,OK,OK
23430,894412,OK,OK,OK,OK
50502,896102,OK,OK,OK,OK
50501,896101,OK,OK,OK,OK
45006,898206,OK,OK,OK,OK
45008,898230,OK,OK,OK,OK
45005,898205,OK,OK,OK,OK
405840,8991840,OK,OK,OK,OK
44020,8981200,OK,OK,OK,OK
44051,898130,OK,OK,OK,OK
44010,8981100,OK,OK,OK,OK
46001,898601,OK,OK,OK,OK
46003,898603,OK,OK,OK,OK
46000,898600,OK,OK,OK,OK
